areaCode,areaName,areaType,date,cumDailyNsoDeathsByDeathDate,hospitalCases,newCasesBySpecimenDate
E92000001,England,nation,2021-10-27,143204,6951,35769
E92000001,England,nation,2021-10-26,143071,6883,34548
E92000001,England,nation,2021-10-25,142946,6801,39126
E92000001,England,nation,2021-10-24,142827,6515,29485
E92000001,England,nation,2021-10-23,142711,6386,29173
E92000001,England,nation,2021-10-22,142587,6405,33797
E92000001,England,nation,2021-10-21,142478,6366,37789
E92000001,England,nation,2021-10-20,142367,6299,43110
E92000001,England,nation,2021-10-19,142257,6099,43693
E92000001,England,nation,2021-10-18,142152,5938,48244
E92000001,England,nation,2021-10-17,142058,5623,36772
E92000001,England,nation,2021-10-16,141956,5385,31033
E92000001,England,nation,2021-10-15,141853,5363,35916
E92000001,England,nation,2021-10-14,141749,5289,38466
E92000001,England,nation,2021-10-13,141638,5246,39759
E92000001,England,nation,2021-10-12,141543,5213,40064
E92000001,England,nation,2021-10-11,141450,5206,42278
E92000001,England,nation,2021-10-10,141355,5077,30922
E92000001,England,nation,2021-10-09,141275,4921,26599
E92000001,England,nation,2021-10-08,141183,4975,29267
E92000001,England,nation,2021-10-07,141091,4962,31569
E92000001,England,nation,2021-10-06,140996,5009,31915
E92000001,England,nation,2021-10-05,140921,5006,31594
E92000001,England,nation,2021-10-04,140831,4909,35791
E92000001,England,nation,2021-10-03,140751,4778,26630
E92000001,England,nation,2021-10-02,140675,4652,21441
E92000001,England,nation,2021-10-01,140605,4799,23669
E92000001,England,nation,2021-09-30,140505,4916,26248
E92000001,England,nation,2021-09-29,140413,5017,28141
E92000001,England,nation,2021-09-28,140324,5126,29024
E92000001,England,nation,2021-09-27,140242,5121,33899
E92000001,England,nation,2021-09-26,140162,4949,26267
E92000001,England,nation,2021-09-25,140088,5100,22657
E92000001,England,nation,2021-09-24,140000,5036,25221
E92000001,England,nation,2021-09-23,139904,5214,27713
E92000001,England,nation,2021-09-22,139798,5406,28188
E92000001,England,nation,2021-09-21,139687,5543,29952
E92000001,England,nation,2021-09-20,139592,5727,31457
E92000001,England,nation,2021-09-19,139479,5695,24264
E92000001,England,nation,2021-09-18,139382,5688,20520
E92000001,England,nation,2021-09-17,139281,5910,21916
E92000001,England,nation,2021-09-16,139154,6081,21733
E92000001,England,nation,2021-09-15,139040,6306,21955
E92000001,England,nation,2021-09-14,138922,6344,22144
E92000001,England,nation,2021-09-13,138802,6424,24640
E92000001,England,nation,2021-09-12,138728,6253,17507
E92000001,England,nation,2021-09-11,138626,6206,16605
E92000001,England,nation,2021-09-10,138519,6400,20528
E92000001,England,nation,2021-09-09,138410,6254,23904
E92000001,England,nation,2021-09-08,138275,6302,25063
E92000001,England,nation,2021-09-07,138162,6244,27346
E92000001,England,nation,2021-09-06,138037,6375,32371
E92000001,England,nation,2021-09-05,137912,6167,22974
E92000001,England,nation,2021-09-04,137795,6043,22966
E92000001,England,nation,2021-09-03,137681,6195,28115
